Year,Day,Site,Code,Sex,Shell,Start,Move,Aggression,BIN.Shell,Dummy
2021,1,G,AIP,M,0,0,59,2,0,1
2021,1,G,AIJ,M,0,467,136,1,0,1
2021,1,G,AIW,M,0,0,4,2,0,1
2021,1,G,AIK (Carp Trail),F,0,0,64,1,0,1
2021,1,G,AIO,M,0,0,126,2,0,1
2021,2,G,AIP,M,0,0,122,3,0,1
2021,2,G,AIJ,M,0,5,78,2,0,1
2021,2,G,AIW,M,0,0,2,1,0,1
2021,2,G,AIK (Carp Trail),F,0,0,108,1,0,1
2021,2,G,AIO,M,0,22,142,2,0,1
2021,3,G,AIP,M,0,0,129,3,0,1
2021,3,G,AIJ,M,0,78,113,2,0,1
2021,3,G,AIW,M,0,0,40,2,0,1
2021,3,G,AIK (Carp Trail),F,0,0,112,2,0,1
2021,3,G,AIO,M,0,22,130,2,0,1
2021,4,G,AIP,M,0,0,128,3,0,1
2021,4,G,AIJ,M,0,8,125,2,0,1
2021,4,G,AIW,M,11,16,67,2,1,1
2021,4,G,AIK (Carp Trail),F,0,0,119,2,0,1
2021,4,G,AIO,M,0,6,138,3,0,1
2021,1,H,AJY,M,0,0,54,2,0,1
2021,1,H,AKK,M,0,42,121,3,0,1
2021,1,H,AJO,F,372,375,88,0,1,1
2021,1,H,AJU,F,600,NA,NA,0,1,1
2021,1,H,AJT,F,68,79,27,2,1,1
2021,2,H,AJY,M,0,0,125,2,0,1
2021,2,H,AKK,M,0,53,131,2,0,1
2021,2,H,AJO,F,0,0,22,0,0,1
2021,2,H,AJU,F,600,NA,NA,0,1,1
2021,2,H,AJT,F,127,134,124,1,1,1
2021,3,H,AJY,M,0,0,122,2,0,1
2021,3,H,AKK,M,0,9,108,3,0,1
2021,3,H,AJO,F,0,0,8,2,0,1
2021,3,H,AJU,F,271,292,84,0,1,1
2021,3,H,AJT,F,45,49,129,2,1,1
2021,4,H,AJY,M,0,0,115,1,0,1
2021,4,H,AKK,M,0,13,80,2,0,1
2021,4,H,AJO,F,0,0,2,2,0,1
2021,4,H,AJU,F,600,NA,NA,0,1,1
2021,4,H,AJT,F,59,59,45,2,1,1
2021,1,I,APU,F,600,NA,NA,0,1,1
2021,1,I,APP,M,74,264,70,0,1,1
2021,1,I,APX,M,443,503,69,0,1,1
2021,1,I,APV,F,0,0,132,2,0,1
2021,1,I,APT,F,0,122,131,0,0,1
2021,2,I,APU,F,600,NA,NA,0,1,1
2021,2,I,APP,M,0,125,163,1,0,1
2021,2,I,APX,M,0,141,160,1,0,1
2021,2,I,APV,F,0,80,113,2,0,1
2021,2,I,APT,F,0,0,132,0,0,1
2021,3,I,APU,F,600,NA,NA,0,1,1
