Site,Year,CalendarDate,A.Temp,W.Temp,Time,Mass,PL,Sex,Recapture,Aggression,Shell,Bin.Shell,Start,Move,Code,for.veg.100,for.veg.200,for.veg.300,for.veg.400,for.veg.500,for.veg.600,for.veg.700,for.veg.800,for.veg.900,for.veg.1000,wet.100,wet.200,wet.300,wet.400,wet.500,wet.600,wet.700,wet.800,wet.900,wet.1000,agri.100,agri.200,agri.300,agri.400,agri.500,agri.600,agri.700,agri.800,agri.900,agri.1000,urban.100,urban.200,urban.300,urban.400,urban.500,urban.600,urban.700,urban.800,urban.900,urban.1000,water.100,water.200,water.300,water.400,water.500,water.600,water.700,water.800,water.900,water.1000,Dummy
A,2021,152,21,20.02,11.66666667,50,57,NA,N,1,NA,NA,NA,NA,ABC,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,152,21,20.02,12,120,78,NA,N,3,NA,NA,NA,NA,ABD,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,153,23,22.5,12.3,600,162,F,N,1,NA,NA,NA,NA,ABA,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,153,23,22.5,12.5,225,103,M,N,1,NA,NA,NA,NA,ABE,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,153,23,22.5,12.58333333,350,131,M,N,2,NA,NA,NA,NA,ABF,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,153,23,22.5,12.66666667,325,124,M,N,1,NA,NA,NA,NA,ABG,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,155,22,22.9,11.73333333,625,157,F,N,2,NA,NA,NA,NA,ABH,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,155,22,22.9,11.83333333,300,121,M,N,0,NA,NA,NA,NA,ABI,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,155,22,22.9,11.91666667,300,119,M,N,3,NA,NA,NA,NA,ABJ,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
A,2021,155,22,22.9,12,250,107,M,N,2,NA,NA,NA,NA,ABK,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
